,startYear,averageRating,numVotes
0,1980-01-01,6.069929364278517,2772.5827447023207
1,1981-01-01,6.130885214007794,2067.5807392996107
2,1982-01-01,6.029499766245912,2381.022440392707
3,1983-01-01,6.023310961968674,2169.5758389261746
4,1984-01-01,6.083173296753536,3104.395061728395
5,1985-01-01,6.100000000000006,2918.0145256468454
6,1986-01-01,5.991370338248049,2869.640069384215
7,1987-01-01,5.975125628140709,3112.9497487437184
8,1988-01-01,5.9434554973822085,3262.982682239227
9,1989-01-01,5.972163695299842,3234.7224473257697
10,1990-01-01,5.943889122217567,3849.4510709785804
11,1991-01-01,6.016460905349781,3408.9296296296297
12,1992-01-01,5.998818565400843,3832.8987341772154
13,1993-01-01,5.973412867490412,4803.700468683425
14,1994-01-01,5.985708333333354,6995.999583333333
15,1995-01-01,5.932057994361656,6467.695932339911
16,1996-01-01,6.064724044770358,4580.669239675801
17,1997-01-01,6.061671469740645,6234.118515850144
18,1998-01-01,6.019657222805176,6143.532353969919
19,1999-01-01,6.0274509803921505,7349.247712418301
20,2000-01-01,6.026455026455036,6310.240896358543
21,2001-01-01,6.101533121203349,6978.631472374892
22,2002-01-01,6.17890646683319,6776.377185678602
23,2003-01-01,6.13337783711617,6673.060080106809
24,2004-01-01,6.215724637681176,7213.907729468599
25,2005-01-01,6.221013704589961,5842.495323036763
26,2006-01-01,6.181728492501956,6052.600039463299
27,2007-01-01,6.219399319984883,6147.358896864374
28,2008-01-01,6.201052807486596,5735.261363636364
29,2009-01-01,6.201048532055101,4966.823247453565
30,2010-01-01,6.214711332858168,4939.5980042765505
31,2011-01-01,6.250072074433202,4836.994103000918
32,2012-01-01,6.259838308457702,4602.50012437811
33,2013-01-01,6.249186991869914,4890.664395026303
34,2014-01-01,6.273464125560534,4523.624215246637
35,2015-01-01,6.253251453010195,3461.5077311108676
36,2016-01-01,6.249926284751503,3540.479886267902
37,2017-01-01,6.261627789558707,3057.912955669999
38,2018-01-01,6.178521916411828,2773.1477064220185
39,2019-01-01,6.175307875401023,2836.9580875504503
